Obs#,Time,Date,configName,configAuthor,remark,Row,Pot,,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt,,,,,,,,,,,,,,,,,
1,11:41:25,5/28/2024,TIP24,Zach Peagler,,1,1,,0.325025,2.922389,0.292494,4.630177,1.877036,1.751836,3.384201,1.507165,17.905117,19.184755,34.589138,0.441786,PSF-01133_20240528114125,0,0,0,115.879295,323.05957,0.641307,0.5,0.8,80.736374,68.81,64.22,22.45,26.05,97.84,156.8,156,0.5,315,3.701,11:41:17,5/28/2024,-1.26,0.044,0.017,0.202,0.783,1.13,-1.043,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.512468,2.434641,1.690326,0.952681,0.301952,0.043404,0.169189,0.387253,118.468163,0.000348,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240528114125,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-05-28T14:47:30.417Z,,,,,,,,,,,,,,,,,
2,11:41:35,5/28/2024,TIP24,Zach Peagler,,1,2,,0.629396,2.92028,0.517797,6.175129,1.964278,1.797177,3.100884,1.136605,18.368675,20.076588,31.693659,0.441786,PSF-01133_20240528114135,0,0,0,137.811539,436.936127,0.684596,0.5,0.8,45.197449,71.81,65.7,22.5,24.58,97.84,156.5,155.8,0.5,165,3.699,11:41:17,5/28/2024,-1.26,0.076,0.279,0.34,-0.043,0.904,-0.567,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.514525,2.438443,1.688056,0.952258,0.301412,0.025704,0.170703,0.254258,137.811539,0.000355,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240528114135,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-05-28T14:47:30.417Z,,,,,,,,,,,,,,,,,
3,11:41:43,5/28/2024,TIP24,Zach Peagler,,1,3,,0.507817,2.922092,0.432632,5.541465,1.977985,1.828265,3.198048,1.220063,18.686182,20.216425,32.68634,0.441786,PSF-01133_20240528114143,0,0,0,134.940155,416.28421,0.675846,0.5,0.8,44.035378,72.15,66.69,22.54,25.1,97.84,156.7,155.5,0.8,163,3.699,11:41:17,5/28/2024,-1.26,-0.151,0.064,0.183,132.787,67.312,32.617,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.515881,2.438857,1.690005,0.95146,0.300948,0.031272,0.171999,0.252337,134.940155,0.000355,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240528114143,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-05-28T14:47:30.417Z,,,,,,,,,,,,,,,,,
4,11:41:50,5/28/2024,TIP24,Zach Peagler,,1,4,,0.540391,2.922024,0.45605,5.683946,1.996099,1.842545,3.1833,1.187201,18.831356,20.40073,32.534279,0.441786,PSF-01133_20240528114150,0,0,0,129.132263,388.21579,0.66737,0.5,0.8,84.720268,72.67,67.08,22.57,25.02,97.84,156.7,155.9,0.5,317,3.699,11:41:17,5/28/2024,-1.26,0.063,0.316,-9999,0.088,0.503,-9999,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.516419,2.439511,1.689932,0.95255,0.300568,0.030006,0.173012,0.389592,129.132263,0.000354,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240528114150,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-05-28T14:47:30.417Z,,,,,,,,,,,,,,,,,
5,11:41:59,5/28/2024,TIP24,Zach Peagler,,1,5,,0.489973,2.920849,0.419587,5.57449,2.019564,1.868862,3.28427,1.264705,19.100182,20.64039,33.565956,0.441786,PSF-01133_20240528114159,0,0,0,131.313797,414.709198,0.683359,0.5,0.8,67.667252,73.33,67.86,22.61,25.54,97.85,156.6,156,0.4,248,3.697,11:41:17,5/28/2024,-1.26,0.033,0.093,0.26,0.086,0.19,-1.511,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.517502,2.440349,1.688668,0.952917,0.300063,0.035658,0.174334,0.327562,131.313797,0.000346,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240528114159,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-05-28T14:47:30.417Z,,,,,,,,,,,,,,,,,
6,11:42:07,5/28/2024,TIP24,Zach Peagler,,1,6,,0.398043,2.921474,0.350314,5.22717,2.015803,1.874541,3.435259,1.419456,19.156414,20.600004,35.105785,0.441786,PSF-01133_20240528114207,0,0,0,125.631454,372.427582,0.662669,0.5,0.8,77.943718,73.03,67.91,22.65,26.3,97.85,156.7,156,0.4,294,3.697,11:41:17,5/28/2024,-1.26,0.078,0.083,-9999,0.705,-0.363,-9999,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.517559,2.439953,1.68934,0.952799,0.299601,0.044156,0.175461,0.368877,125.631454,0.000354,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240528114207,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-05-28T14:47:30.417Z,,,,,,,,,,,,,,,,,
7,11:42:13,5/28/2024,TIP24,Zach Peagler,,1,7,,0.462834,2.921294,0.399534,5.469132,2.031146,1.883348,3.333933,1.302787,19.246408,20.756796,34.070305,0.441786,PSF-01133_20240528114213,0,0,0,136.253006,420.14624,0.675701,0.5,0.8,50.743111,73.42,68.08,22.68,25.8,97.85,156.7,155.3,0.9,188,3.691,11:41:17,5/28/2024,-1.26,0.12,0.097,-9999,0.344,0.183,-9999,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.517788,2.440447,1.689146,0.950979,0.299171,0.037774,0.176408,0.274419,136.253006,0.000351,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240528114213,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-05-28T14:47:30.417Z,,,,,,,,,,,,,,,,,
8,11:42:20,5/28/2024,TIP24,Zach Peagler,,1,8,,0.384222,2.920309,0.339548,5.014942,2.028694,1.893059,3.43364,1.404945,19.345303,20.731373,35.088612,0.441786,PSF-01133_20240528114220,0,0,0,132.255081,402.308105,0.671259,0.5,0.8,65.493851,73.18,68.28,22.72,26.3,97.86,156.5,155.7,0.6,244,3.691,11:41:17,5/28/2024,-1.26,-0.01,0.129,-9999,0.456,0.094,-9999,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.518064,2.440129,1.688087,0.951897,0.298747,0.04324,0.177353,0.324335,132.255081,0.000355,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240528114220,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-05-28T14:47:30.417Z,,,,,,,,,,,,,,,,,
9,11:42:26,5/28/2024,TIP24,Zach Peagler,,1,9,,0.498173,2.922686,0.425625,5.882949,2.062643,1.903876,3.377687,1.315044,19.454651,21.077,34.514706,0.441786,PSF-01133_20240528114226,0,0,0,135.835648,408.054108,0.667114,0.5,0.8,56.891468,74.26,68.54,22.75,26.02,97.86,156.8,156,0.5,213,3.695,11:41:17,5/28/2024,-1.26,0.113,0.18,-9999,0.36,-0.939,-9999,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.518416,2.441493,1.690646,0.952793,0.298367,0.039594,0.178128,0.297039,135.835648,0.000357,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240528114226,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-05-28T14:47:30.417Z,,,,,,,,,,,,,,,,,
10,11:42:32,5/28/2024,TIP24,Zach Peagler,,1,10,,0.465321,2.921815,0.401395,5.916372,2.085468,1.925728,3.486832,1.401364,19.678097,21.3104,35.630276,0.441786,PSF-01133_20240528114232,0,0,0,127.750397,414.953461,0.692133,0.5,0.8,49.31208,74.92,69.18,22.79,26.56,97.86,156.7,155.7,0.6,178,3.695,11:41:17,5/28/2024,-1.26,0.111,0.076,-9999,0.928,-0.124,-9999,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.519296,2.442323,1.689707,0.952018,0.297945,0.045554,0.178968,0.265866,127.750397,0.000353,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240528114232,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-05-28T14:47:30.417Z,,,,,,,,,,,,,,,,,
